Item #	Item Description	R Value	Donar	Advertisement
213	3 - Hair Cuts	$27.00	University of Cosmotology	"""For those who qualify"" - grants and loans are available."
214	Manicure & pedicure	$54.00	The Body Natural	Daily health rituals & practices can awaken our environment with great purpose & clairty.  Come in & experience plant-based aromatherapy in a relaxing atmosphere.
215	Lunch for 4 at Basket Case	$50.00	Tri County Orthodontic Assn.	
216	$30.00 geft certificate	$30.00	Schulte's Bakery	"Family owned, in Washington, for over 45 years."
217	1 - Acupuncture for smoking cessation	$80.00	TOTAL HEALTH CHIROPRACTIC & ACUPUNCTURE	Improving the Quality of Life
218	Williams Brothers famous 4 oz filet Mignon	$50.00	Cogent Innovators	
219	$30.00 Gift certificate	$30.00	Schulte's Bakery	"Family owned, in Washington, for over 45 years."
220	1 - Acupuncture for weight loss package	$80.00	TOTAL HEALTH CHIROPRACTIC & ACUPUNCTURE	Improving the quality of life.
221	"$30.00 Hillermann Nursery & Florist, Inc. Gift Certificate"	$30.00	Mike & Gail Lause Country Living Real Estate	Call 636-239-1115 for Country Living Real Estate.  Let Mike or Gail's professionalism with care help you whether you are buying or selling  real estate.
222	Gift Certificate for family sitting & 1 - 8x10 portrait	$70.95	Fricke Studio	"Fricke Professional Photography Studio & 1 Hour Photo, Elm Street in downtown Washington & Hermann, MO"
223	"$30.00 Hillermann Nursery & Florist, Inc. Gift Certificate"	$30.00	Mike & Gail Lause Country Living Real Estate	Call 636-239-1115 for Country Living Real Estate.  Let Mike or Gail's professionalism with care help you whether you are buying or selling  real estate.
224	$30.00 gift certificate	$30.00	Schulte's Bakery	"Family owned, in Washington, for over 45 years."
225	Williams Brothers famous 4 oz filet Mignon	$50.00	Cogent Innovators	
226	"$30.00 Hillermann Nursery & Florist, Inc. Gift Certificate"	$30.00	Mike & Gail Lause Country Living Real Estate	Call 636-239-1115 for Country Living Real Estate.  Let Mike or Gail's professionalism with care help you whether you are buying or selling  real estate.
227	Williams Brothers famous 4 oz filet Mignon	$50.00	Cogent Innovators	
228	$30.00 Gift certificate	$30.00	Schulte's Bakery	"Family owned, in Washington, for over 45 years."
229	Gift Certificate	$50.00	Purcell Ellis Tire & Rubber	"Purcell Ellis Tire & Rubber - Tires & auto repair at 5th & Elm Streets in Washington, MO"
230	Williams Brothers famous 4 oz filet Mignon	$50.00	Cogent Innovators	
231	Fas-Trip 66-5 Triple shine washes	$40.00	"Franklin Mortgage Company, LLC"	Experience you can trust.  Sharon Monzyk & Gina Scego
232	One tandum load of rock delivered within 3 miles of Washington.	$150.00	K. J. Unnerstall Construction	"Your local escavaor, builder, commercial contractor serving greater Franklin County."
233	Vinyl Mailbox and Post	$110.00	Washington Fence Co. Inc.	
234	Approximately 8# sliced hickory smoked home cured bacon	$32.00	Voss Tom Boy Market	"Grocery, Meat & Produce plus Conoco Fuel & Deli"
235	1/2 Hog Fully Processed to your order	$140.00	Williams Bros. Meat Market	"Williams Bros. Meat Market - Locally raised beef & pork, award winning hams, bacon & sausage.  Your old fashion, full service meat market."
236	Fas-Trip 66-5 Triple shine washes	$40.00	"Franklin Mortgage Company, LLC"	Experince you can trust.  Sharon Monzyk & Gina Scego
237	Two (2) 1/2 Hour Golf Lessons with Gabe Kranz	$90.00	wolf Hollow Golf Course - Gabe Kranz	Start you season off right with lessons from the professionals at Wolf Hollow
238	Dinner for 2 at Creamery Hill	$50.00	Town and Country Title	Call Wendy Zick for your title insurance needs.
239	Approximately 8# sliced hickory smoked home cured bacon	$32.00	Voss Tom Boy Market	"Grocery, Meat & Produce plus Conoco Fuel & Deli"
240	Two (2) 1/2 hour Golf Lessons with Mike Weirich	$80.00	wolf Hollow Golf Course - Mike Weirich	Start you season off right with lessons from the professionals at Wolf Hollow
241	Dinner for 2 at Creamery Hill	$50.00	"Kevin Richardson, Atty at Law"	
242	Coaching package	$795.00	The Quality Coach!	"Value for best year yet workshop $295 + $500 for the disc & personal interest, attitudes & value analysis for 1 individual."
243	Williams Brothers Beef and Reef Package	$100.00	Countywide Oral & Maxillofacial Surgery	"Michael J. Pernoud, DDS.  Countywide Oral and Maxillofacial Surgery"
244	"Eight (8) 18 Hole Green Fees & Cart, Mon-Fri"	$212.00	Wolf Hollow Golf Course	Visit us on the intenet at www.wolfhollowgolf.com
245	Four (4) Weekend 18 Hole Green Fees with Cart	$156.00	Wolf Hollow Golf Course	Visit us on the internet at www.wolfhollowgolf.com
246	$35.00 Aldo's Restaurant Gift Certificate	$35.00	TOTAL HEALTH CHIROPRACTIC & ACUPUNCTURE	"""Improving the Quality of Life"""
247	Coaching package	$795.00	The Quality Coach!	"Value for best year yet workshop $295 + $500 for the disc & personal interest, attitudes & value analysis for 1 individual."
248	4 Monday-Friday 18 hole green fee w/cart at Wolf Hollow	$100.00	Missouri State Teachers Association	Missouri 's oldest and largest teachers association MSTA-The Voice Of Missouri Teachers
249	Droege's Six (6) US choice 12oz Ribeye steaks	$45.00	Dr. Mike Radetic	"Dr. Mike Radetic, DDS located at 10 West Second Street in historic downtown Washington."
250	$35.00 Aldo's Restaurant Gift Certificate	$35.00	Jackie Hoelscher-Bruns CPA	1210 Jefferson Street - Washington - 239-5005
251	$35.00 Aldo's Restaurant Gift Certificate	$35.00	Steamboat Finaincial Services	Located in the Steamboat Building in Downtown Washington - call 239-1486 for all your Investment needs
252	$35.00 Aldo's Restaurant Gift Certificate	$35.00	Steamboat Finaincial Services	Located in the Steamboat Building in Downtown Washington - call 239-1486 for all your Investment needs
253	$35.00 Aldo's Restaurant Gift Certificate	$35.00	Jackie Hoelscher-Bruns CPA	1210 Jefferson Street - Washington - 239-5005
254	"$30.00 Hillermann Nursery & Florist, Inc. Gift Certificate"	$30.00	Steamboat Finaincial Services	Located in the Steamboat Building in Downtown Washington and at the Citizens Bank @ Highway 100 & High Street
255	$35.00 Aldo's Restaurant Gift Certificate	$35.00	Jackie Hoelscher-Bruns CPA	1210 Jefferson Street - Washington - 239-5005
256	"$30.00 Hillermann Nursery & Florist, Inc. Gift Certificate"	$30.00	Steamboat Finaincial Services	Located in the Steamboat Building in Downtow Washington - listen to the Investment Line each Saturday AM on KLPW.
257	Williams Brothers famous 4 oz filet Mignon	$50.00	Oltmann Funeral Home	"Families that deserve the best choose Oltmann Funeral Home: Spacious, beautiful and the most reasonably priced."
258	"$30.00 Hillermann Nursery & Florist, Inc. Gift Certificate"	$30.00	Michael Hoelscher CPA	1210 Jefferson Street - Washington - 239-5005
259	Droege's BBQ Package	$45.00	Oltmann Funeral Home	"Families that deserve the best choose Oltmann Funeral Home: Sapcious, beautiful and the most reasonably priced."
260	"$30.00 Hillermann Nursery & Florist, Inc. Gift Certificate"	$30.00	Michael Hoelscher CPA	1210 Jefferson Street - Washington - 239-5005
261	1 WHS Mens denim shirt - xl	$35.00	Legacy Promotional Products	
262	Lunch for 4 at Basket Case	$50.00	Missouri Land Sales-Michelle Stone	"Franklin County's only accredited land oonsultant, located at Krakow Korners."
263	$35.00 Aldo's Restaurant Gift Certificate	$35.00	Aldo's Restaurant	Aldo's True Italian Pizza & Pasta
264	$35.00 Aldo's Restaurant Gift Certificate	$35.00	Aldo's Restaurant	Aldo's True Italian Pizza & Pasta
265	$35.00 Aldo's Restaurant Gift Certificate	$35.00	Aldo's Restaurant	Aldo's True Italian Pizza & Pasta
266	Droege's Angus Beef Prime Rib (10lb)	$100.00	Dr. Greg Potts	
267	$35.00 Aldo's Restaurant Gift Certificate	$35.00	Aldo's Restaurant	Aldo's True Italian Pizza & Pasta
268	1 WHS ladies denim shirt - xl	$35.00	Legacy Promotional Products	
269	Lunch for 2 at Basket Case	$25.00	Basket Case Import & Deli	Celebrating our 23rd year.  Still the best place for Lunch.  Fresh seafood. Daily specials and great desserts.
270	Williams Brothers Beef and Reef Package	$90.00	Express Personnel	"Locally owned & operated, Express is the leading staffing provider in Franklin & Warren counties.  Call Express today at 636-584-0284 and find out why."
271	1 SFBRHS ladies polo shirt - white xl	$20.00	Legacy Promotional Products	
272	Williams Brothers BBQ Package	$80.00	Franklin County Surgical Association	Dr. Riechers & Dr. Wilson
273	Williams Brothers famous 4 oz filet Mignon	$50.00	Express Personnel	"Locally owned & operated, Express is the leading staffing provider in Franklin & Warren counties.  Call Express today at 636-584-0284 and find out why."
274	1 SFBRHS ladies polo shirt - royal blue Lg.	$20.00	Legacy Promotional Products	
275	Lunch for 4 at Basket Case	$50.00	Basket Case Import & Deli	celebrating our 23rd year.  Still the best place for Lunch.  Fresh seafood. Daily specials and great desserts.
276	Williams Brothers Natural Hickory Smoked Bone-In Ham	$60.00	Express Personnel	"Locally owned & operated, Express is the leading staffing provider in Franklin & Warren counties.  Call Express today at 636-584-0284 and find out why."
277	Williams Brothers Hickory Smoked Slab Bacon	$40.00	Express Personnel	"Locally owned & operated, Express is the leading staffing provider in Franklin & Warren counties.  Call Express today at 636-584-0284 and find out why."
278	Dinner for 4 at Creamery Hill	$100.00	Robert & Debra Marfisi	celebrating our 23rd year.  Still the best place for Lunch.  Fresh seafood. Daily specials and great desserts.
279	Dinner for 4 at Creamery Hill	$100.00	Moore Gear	Makers of quality gears and gear racks
280	Fas-Trip 66-5 Triple shine washes	$40.00	American Family Insurance	Rely on Bob Coleman - American Family Insurance for all your insurance needs
281	Dinner for 2 at Creamery Hill	$50.00	Robert & Debra Marfisi	celebrating our 23rd year.  Still the best place for Lunch.  Fresh seafood. Daily specials and great desserts.
282	1 1/2 Hour Custom Facial at Roller & Company	$60.00	Roller and Co.	"Be pampered, relaxed and your face rejuvenated during  1 1/2 hour facial extrordinaire"
283	"Hair style, manicure & mini makeover"	$45.00	Roller and Co.	"Be pampered, relaxed and enjoy Roller & Co."
284	Dinner for 4 at Creamery Hill	$100.00	Missouri Occupational Medicine	
285	1 Hour massage at Roller & Company	$50.00	Roller and Co.	"Encapsulating 11 years of experience focused on you.  1 full hour massage tailored to your needs.  De-Stress, Relax and Enjoy"
286	 Droege's Six (6) US choice KC 12 oz strip steaks	$45.00	Occupational Health Testing	
287	1 1/2 Hour Custom Facial at Roller & Company	$60.00	Teton  Consultants	
288	Droege's BBQ Package	$45.00	Dan Yoest Ins. Agency	For all your insurance needs call the Dan Yoest Agency 239-1130 or in Union 583-3822
289	"$30.00 Hillermann Nursery & Florist, Inc. Gift Certificate"	$30.00	"KLEEKAMP INSURANCE AGENCY, LLC"	"Call for your insurance needs - auto, home, life, farm and business.  Helen 636-433-0241 or Brian 314-984-9950"
290	Droege's BBQ Package	$45.00	United Mutual Insurance Company	Your home town alternatice for insurance.  Come home to United Mutual Insurance
291	$35.00 Aldo's Restaurant Gift Certificate	$35.00	Tim Wunderlich - Renaissance Financial	Serving small business & individual clients with their complete financial planning needs.
292	Droege'sTwenty (20) boneless pork chops	$35.00	"KBC Custom Homes, Inc."	Call Gary & Doug for building the home of your dreams & for remodeling.  Gary 636-433-2342  Doug 636-451-0240.
293	2 Monday-Friday 18 hole green fee w/cart at Wolf Hollow	$50.00	American National Insurance	"For auto, home, farm, and business insurance.  Call Helen at 636-984-9950.  Helen has her office in her home in Marthasville and will be happy to serve you."
294	Williams Brothers famous 4 oz filet Mignon	$50.00	Tim Wunderlich - Renaissance Financial	Serving small business & individual clients with their complete financial planning needs.
295	2 Monday-Friday 18 hole green fee w/cart at Wolf Hollow	$50.00	United Mutual Insurance	Your home town alternative for insurance.  Come home to United Mutual Insurance.
296	4 Monday-Friday 18 hole green fee w/cart at Wolf Hollow	$100.00	Tom Wunderlich - Padgett Business Services	"Padgett specializes in providing financial reporting, payroll & tax  auditory services to businesses.  Padgett also offers tax preparation services for individuals, partnerships & corporate income tax returns.  239-5636"
297	 Droege's Six (6) US choice KC 12 oz strip steaks	$45.00	American Family Insurance	Rob Vossbrink - American Family Insurance.  See Rob for all of your insurance needs.
298	Droege's BBQ Package	$45.00	305 Liquor	For all your party needs - make 305 Liquor the first place you stop.  305 East 8th Street in Washington
299	"Nordic Track Exercise Bike, Audio Rider R 400"	$500.00	Patients First Health Care	Improving the quality of care and service for patients and their families.  Patients First now has 10 offices serving central Missouri.
300	Frick's supertrim whole bone-in ham	$40.00	Frick's Quality Meats	Frick's --  Taste like ham used to tast
301	Frick's supertrim whole bone-in ham	$40.00	Frick's Quality Meats	Frick's --  tastes like ham used to taste
302	Frick's whole supertrim bone-in ham	$40.00	Frick's Quality Meats	Frick's tastes like ham used to taste
303	Frick's supertrim whole bone-in ham	$40.00	Frick's Quality Meats	Frick's -- tastes like ham used to taste
304	"2 Cardinals Tickets.  Outifield Box section 167, row 12, mutually agreed date"	$76.00	Dave Hackman Shelter Insurance	"For all your insurance needs, call Dave @ 239-3737  211 Jefferson Street in Washington"
305	$30 GC Krakow Store	$30.00	Krakow Store	Everything you need is at Krakow Store
306	1/2 off whirlpool King Suite at Sleep Inn	$70.00	Sleep Inn & David Grimes	Call Sleep Inn soon and plan your weekend getaway
307	10 cubic foot poly lawn cart	$130.00	"SEARS AUTHORIZED RETAIL DEALER, Demea & James Loyd"	Demea & James wouldlike to thank the community for welcoming them and the new Sears ownership.   Stop by Today
308	B&B Gift Certificate for 1 night stay  (Mon. - Thurs)	$175.00	LA DOLCE VITA WINERY & BED & BREAKFAST	La Dolce Vita winery is located in the hostoric Zachariah Voss House on the river front
309	"4 Cardinal Tickets, Infield Club seats, May 26th, Saturday, vs. the Washington Nationals"	$192.00	Citizen's Bank	"Community owned indpeendent bank, New Haven, Gerald, Pacific and Washington"
310	Gift Cert. to Paint N Place	$50.00	"Paint N Place, Inc."	
311	4 1/2 inch angle grinder	$49.99	John Hall Lumber	
312	2 gallons matte finish duration home wall paint	$80.00	Sherwin Williams of Washington	Sherwood Williams --  your one stop shop for all your painting needs
313	"52"" ceiling fan with light kit, brushed nickel"	$99.00	Jefferson Lighting	Visit Jefferson Lighting for all your home lighting needs
314	One Hour Massage	$55.00	St. John's Mercy Hosptial	"Here for you and your family, 24 hours a day, 7 days a week, 365 days a year, your full service healthcare orgaization"
315	Williams Brothers famous 4 oz filet Mignon	$50.00	Keeven Heating and Cooling	Keeven is a family owned heating and cooling co that serves all brands of residential and commercial equipment
316	4 Weekend 18 hole green fees with cart at Wolf Hollow	$140.00	"Motor Appliance Corp, Clinton Kell"	
317	Droege's Large Fancy Deli Platter	$45.00	Unity Corporate Health	Treat you co-workers to lunch on us -- Unity Corporate Health -- your source for co-worker health.
318	Williams Brothers Steak Lovers Package	$99.00	Melton Machine & Control Co.	"Melton Machine & Control Co. Washington, Missouri"
319	Williams Brothers Steak Lovers Package	$99.00	Melton Machine & Control Co.	"Melton Machine & Control Co. Washington, Missouri"
320	Lunch for 2 at Basket Case	$25.00	Fed Ex	
321	Lunch for 2 at Basket Case	$25.00	Fed Ex	
322	Fas-Trip 66-5 Triple shine washes	$40.00	"Washington Dermatology Center , Dr. Eshraghi"	
323	Dinner for 4 at Creamery Hill	$100.00	Hellebusch Tool & Die	"Hellebusch Tool & Die, A part of the community for 34 years."
324	Droege's BBQ Package	$45.00	Washington Monument Co.	For all your memorial needs.
325	Droege's BBQ Package	$45.00	Washington Monument Co.	For all your memorial needs.
326	Droege's BBQ Package	$45.00	Washington Monument Co.	For all of your memorial needs.
327	Droege's BBQ Package	$45.00	Washington Monument Co.	For all your memorial needs.
328	Droege's Dinner for Eight	$40.00	Joanna Eiermann Farmer's Ins. Group	Call Joanna for all your insurance needs - 239-1172
329	Droege's BBQ Package	$45.00	Shaw's Custom Cabinets	Located at Hwy A --  For all your cabinet needs
330	"$30.00 Hillermann Nursery & Florist, Inc. Gift Certificate"	$30.00	Washington Pediatric Associates	Donated by Washington Pediatric Associates
331	Lunch for 2 at Basket Case	$25.00	Washington Pediatric Associates	Donnated by Washington Pediatric Associates
332	Droege's BBQ Package	$45.00	Washington Pediatric Associates	Donnated by Washington Pediatric Associates
333	"$30.00 Hillermann Nursery & Florist, Inc. Gift Certificate"	$30.00	"South Pointe, Assisted Living by Americare"	An alternative in long-term care for seniors
334	"$30.00 Hillermann Nursery & Florist, Inc. Gift Certificate"	$30.00	"South Pointe, Assisted Living by Americare"	An alternative in long-term care for seniors
335	"4 HOUR Bus Trip ,  Charter Field Trip"	$200.00	LAIDLAW EDUCATION SERVICE	4 hour bus trip/charter/field trip
336	Lube & Oil Change	$30.00	Riechers Tire and Auto	We are here to keep you safe on the road
337	Seven Day Executive Pen Set	$110.00	"DAC, Inc."	See DAC for your advertising specialty products
338	Gift Certificate	$50.00	Hillermann Nursery & Florist	Exciting NEW changes in our store for Spring 07 -- we are growing with you!
339	Gift Certificate	$50.00	Hillermann Nursery & Florist	"Check out our expanded ""Outdoor Living"" selectons this spring!"
340	Gift Certificate	$50.00	Hillermann Nursery & Florist	We are growing for you!  Exciting NEW changes in our store for Spring 07!
341	"Die cast Dison Motors role car replica at 1/24"" scale"	$80.00	Dixon Motor Co	Dixon Motors at 125 E 5th Street in Washington
342	Truck Bug Shield	$70.00	Accessories Unlimited LLC	Stop by Accessories Unlimited for all of your automotive accessories.
343	Home made pickup sweets	$30.00	Finishing Truck by Ginger	A delightful tray of delicious assortment of sweets to wow your family at Easter
344	One night at the Guest Haus Bed & Breakfast	$150.00	Dorris Keeven-Franke	One totally private night as the exclusive guest at this most luxurious bed and breakfast
345	Droege's Six (6) US choice 12oz Ribeye steaks	$45.00	Washington Metal Fabricators	Good luck with the Radio auction from your friends at Washington Metal Fabricators
346	Hillerman Gift Certificate	$30.00	Rabco Midwest Inc.	Best of Luck to the Washington Rotary Club
347	2 Weekend 18 hole green fees w/cart at Wolf Hollow	$70.00	Rabco Midwest Inc.	Best of Luck to the Washington Rotary Club
348	4 Weekend 18 hole green fees with cart at Wolf Hollow	$140.00	Clemco	Good luck to the Washington Rotary Club
349	Dinner for 2 at Creamery Hill	$50.00	R.D. Laboratories Inc.	Best of luck to the Washington Rotary Club from R. D. Labs
350	Williams Brothers famous 4 oz filet Mignon	$50.00	R.D. Laboratories Inc.	best of luck to the Washington Rotary Club from R. D. Labs
351	2 Weekend 18 hole green fees w/cart at Wolf Hollow	$70.00	Linmark Machine Products	Best of luck to the Washington Rotary Club from Linmark Machine Products
352	4 Weekend 18 hole green fees with cart at Wolf Hollow	$140.00	Stork Fabricators Inc.	Best of luck to the Washington Rotary Club.
353	Lunch for 2 at Basket Case	$25.00	Missouri Meerschaum	Check out our different pipes for gifts or your personal smoking requirements
354	Williams Brothers Natural Hickory Smoked Bone-In Ham	$60.00	Dr. Kathy Lentz MD	
355	"""I Didn't Know That"" Book by Stanley Wilke"	$30.00	Washington Historial Society	Stop by 4th & Market to visit us-Tues.-Sat 10:00-4:00 PM & Sunday 12:00-4PM
356	Washington Missouri Sesquicentennial Commemorative Book	$35.00	Washington Historial Society	Stop by 4th & Market to visit us-Tues.-Sat 10:00-4:00 PM & Sunday 12:00-4PM
357	John Deere tractor and plow model 1/16 scale	$25.00	Schweissguth Bros. Farm Equip	For all your lawn care needs.
358	John Deere tractor and amonia tank model 1/16 scale	$25.00	Schweissguth Bros. Farm Equip	For all your lawn care needs.
359	Neck Contour Pillow	$45.00	Spilker Chiropractic	Franklin County's Low Back Expert
360	"Tapestry Tabelcloth 54""x54"""	$55.00	Klak Management (McDonalds)	Mc Donalds of Washington proudly supports the Washington Rotary Club.
361	"Tapestry Throw 51""x68"""	$52.00	Annie-Rose Linen & Antique	Annie-Rose Linens and Antiques located at 1110 Clock Tower Plaza 636-239-1970.  Antiques Linens and Gift for all occasions.
362	"St. Louis Rams Tailgate Package - Cooler, Rams Windbreaker & Hat, Pepsi Products & Coolie Cups"	$100.00	Pepsi Cola Bottling Co	Provided by the Pepsi Cola Bottling Co of New Haven
363	JBL 6-Piece Home Cinema Speaker Package	$539.00	HARMAN INTERNATIONAL	Harman Becker proudly supports the Washington Rotary Club.
364	McDonalds Gift Card	$25.00	Klak Management (McDonalds)	McDonalds of Washington proudly supports the Washington Rotary Club
365	McDonalds Gift Card	$25.00	Klak Management (McDonalds)	McDonalds of Washington proudly supports the Washington Rotary Club
366	Jaycee Combo Pack	$110.00	WASHINGTON JAYCEES	"2 Adults & 2 Kids tickets to the Demo Derby June 2, 2007, 2 BBQ Meals at the Jaycee BBQ stand at the Town & Country Fair August 1-5, 2 Adults & 2 Kids tickets to the Demo Derby September 8, 2007, 2 Adult tickets to Brewfest October 13, 2007."
367	Jaycee Combo Pack	$110.00	WASHINGTON JAYCEES	"2 Adults & 2 Kids tickets to the Demo Derby June 2, 2007, 2 BBQ Meals at the Jaycee BBQ stand at the Town & Country Fair August 1-5, 2 Adults & 2 Kids tickets to the Demo Derby September 8, 2007, 2 Adult tickets to Brewfest October 13, 2007."
368	2 Tickets to the 26th Annual Art Fair & Winefest	$30.00	"Downtown Washington, Inc."	The 26th Annual Art Fair & Winefest will be May 18-20.  Your tickets give you entrance to the tasting pavillion and commemorative wine glasses.
369	4 Excellent Seats to a 2007 Mizzou home football game.  Section L Row 7 Seats 12-15. Date to be determined.	$220.00	Modern Auto	"Modern Auto is your only full line General Motors dealer in Franklin County.  We sell, service and repair Chevrolet, Buick, Pontiac, GMC, Cadillac and GM medium duty trucks."
370	Homemade Cookie Gift Pack for your College Student	$100.00	Cindy Frick	"Cookies, sweets and treats packaged with care for your loved one. 4 shipments all postage prepaid.  Call Cindy Frick at 636-390-2144 ext. 112."
371	Downtown Washington Gift Certificate	$30.00	Wiemann & Pues Insurance Agency - Rick Hopp	"Wiemann & Pues Insurance Agency ""The Agency of Service"" 200 Jefferson Street in Washington."
372	Downtown Washington Gift Certificate	$30.00	Wiemann & Pues Insurance Agency - Rick Hopp	"Wiemann & Pues Insurance Agency ""The Agency of Service"" 200 Jefferson Street in Washington."
373	Downtown Washington Gift Certificate	$30.00	Wiemann & Pues Insurance Agency - Rick Hopp	"Wiemann & Pues Insurance Agency ""The Agency of Service"" 200 Jefferson Street in Washington."
374	$35.00 Aldo's Restaurant Gift Certificate	$35.00	Prestige Mortgage - Tim Jones	Fantastic Interest Rates for Refi  New Home Loans.
375	"$30.00 Hillermann Nursery & Florist, Inc. Gift Certificate"	$30.00	Prestige Mortgage - Tim Jones	Fantastic Interest Rates for Refi  New Home Loans.
376	J&M Car Wash-10 Automatic car wash package	$45.00	FOUR RIVERS INSURANCE AGENCY	Now owned by Tom Hilermann & Mark Michels.
377	J&M Car Wash-10 Automatic car wash package	$45.00	FOUR RIVERS INSURANCE AGENCY	Now owned by Tom Hilermann & Mark Michels.
378	J&M Car Wash-10 Automatic car wash package	$45.00	FOUR RIVERS INSURANCE AGENCY	Now owned by Tom Hilermann & Mark Michels.
379	J&M Car Wash-10 Automatic car wash package	$45.00	FOUR RIVERS INSURANCE AGENCY	Now owned by Tom Hilermann & Mark Michels.
380	Oral B Professional Care 8000 DLX Toothbush	$110.00	Rieser Family Dental LLC	"Rieser Family Dental, a family of dentists for your family dentistry.  Located at 14th and Jefferson, across from Bank of Washington.  Call 239-7654 for your appointment."
381	Crest Sonicare Intelliclean Toothbrush System	$110.00	Dr. Jacqueline Demko	
382	Dinner for 2 at Creamery Hill	$50.00	Dr. James G. Mace	
383	Man's Seiko Railroad Watch (sgf538) with a strech metal band and fresh battery.	$165.00	Brune Jewelers	"Located at Washington Corners.  Tue, Wed, Sat 9-5 and Thu, Fri 9-8."
384	GC to Aldo's Restaurant	$35.00	Nate Hagedorn Construction	
385	Gift Certificat to Brown's	$50.00	Brown's Enterprises	Brown's for all your footwear needs.
386	$50 GC to Hawthone Inn at Labadie	$50.00	"Hawthorne Inn, Labadie"	"Voted """"Favorite Restaurant"""" 3 years in a row by Missourian readers. Located in downtwon Labadie!"
387	$50 GC to Hawthone Inn @ Labadie	$50.00	"Hawthorne Inn, Labadie"	"Voted """"Favorite Retsaurant"""" 3 years in a row by Missourian readers. Located in downtwown Labadie!"
388	"$50 GC Hawthone Inn, UNION"	$50.00	"Hawthorne Inn, UNION"	"Come try the new Hawthorne Inn II in Union, enjoy the same great food as their Labadie location."
389	$50 GC to Hawthone Inn @ UNION	$50.00	"Hawthorne Inn, UNION"	"Come try the new Hawthorne Inn II in Union, enjoy the same great food as their Labadie location."
390	$30 GC to Four Seasons Floral Shop	$30.00	"A. G. Edwards, Washington"	"For beautiful flowers, a special occasion or any day - call Michelle @ Four Seasons Florist!"
391	$30 GC to Four Seasons Floral Shop	$30.00	A.G. Edwards Washington	"For beautiful flowers, a special occasion or any day - call Michelle @ Four Seasons Florist!"
392	$30 GC to Four Seasons Floral Shop	$30.00	"a.G. Edwards, Washington"	"For beautiful flowers, a special occasion or any day - call Michelle @ Four Seasons Florist!"
393	$30 GC to Four Seasons Floral Shop	$30.00	"A.G. Edwards, Washington"	"For beautiful flowers, a special occasion or any day - call Michelle @ Four Seasons Florist!"
394	"$35 GC for Donna Hudson @ Mane Klipper, Color cut of product"	$35.00	"Edward D. Jones, Justin Sincox"	Don’t forget your IRA this year!
395	$150 GC towards in-home fabric/upholstry/surface cleaning	$150.00	Cassidy Cleaners - Shane Mayer	"Cassidy Cleaners can clean any type of window covering fabric, right where it hangs!  Preferred method by Hunter Doulass, works on upholstry, rugs & more."
396	"GC for One year laundry service, $30/month for 12 months"	$360.00	Cassidy Cleaners & Shane Mayer	"Free laundry service for a year! Includes wash & fold (not ironing), large or small items"
397	"GC for 1 Year of dry cleaning, $30/month for 12 months"	$360.00	Cassidy Cleaners & Shane Mayer	"Your hometown, family-owned drycleaning & laundry center.  Pick-up service, alterations, shoe repair, leather care & wedding gown preservation."
398	"GC for 1 year of drycleaning, $30/month for 12 months"	$360.00	Cassidy Cleaners & Shane Mayer	"Your hometown, family-owned drycleaning & laundry center.  Pick-up service, alterations, shoe repair, leather care & wedding gown preservation."
399	GC for color & haircut only by Donnal Hudson	$58.00	Donna Hudson @ Mane Klipper	Stop by and see Donna for a great spring cut!
400	Oil Change	$28.00	Liesmann Auto Sales	For your preowned car needs call Liesmann Sales for individual attention.
401	Oil Change	$28.00	Liesmann Auto Sales	For your preowned car needs call Liesmann Sales for individual attention.
402	Lunch & Golf for 4 - soft drinks	$250.00	 Franklin County Country Club	F.C.C.C. the areas only full service private Country Club located approximately 5 miles south of Washington in the rolling hills of Krakow.
403	Two $15 Gift Cards	$30.00	Cecil Whitttaker's Pizza	"Enjoy our """"Buy One - Get One Free Specials"""" everyday!  At Cecil Whittaker's Pizza"
404	Men's Haricut by Newt	$14.00	Newton's Total Care	"Newton's Total Care - 1201 Jefferson """"Behind Aldo's"""""
405	Oil Change	$28.00	Liesmann Auto Sales	For your preowned car needs call Liesmann Sales for individual attention.
406	$25 Gift Certificate	$25.00	Four Seasons Florist	"For beautiful flowers, a special occasion or any day - call Michelle @ Four Seasons Florist!"
407	Oil Change	$28.00	Liesmann Auto Sales	For your preowned car needs call Liesmann Sales for individual attention.
408	$25 Gift Certificate	$25.00	Four Seasons Florist	"For beautiful flowers, a special occasion or any day - call Michelle @ Four Seasons Florist!"
409	$50 Dinner Certificate	$50.00	D & D'S LITTLE SICILY RESTAURANT	"""Where friends meet and families eat.""  602 West 5th Street - Downtown Washington - Jim & Annette Johnson"
410	$50 GC for Wild Blue Satellite High Speed Internet Service	$50.00	E Z Care Systems	Wild Blue Satelliet High Speed Internet Sercie works anywhere that has a view of the southern sky
411	$25 Gift Certificate to DiGiacinto's Itilian Restaurant	$25.00	Dolan Realtors	For all of your real estate needs.
412	$50 GC for Wild Blue Satellite High Speed Internet Sercie	$50.00	E Z Care Systems	Wild Blue Satelliet High Speed Internet Sercie works anywhere that has a view of the southern sky
413	$25 Gift Certificate to DiGiacinto's Italian Restaurant	$25.00	Dolan Realtors	For all of your real estate needs.
414	Magnovox DVD player	$40.00	E Z Care Systems	For all your satellite TV and high speed internet needs cll E Z Care 239-3899
