Item #	Item Description	R Value	Donar	Advertisement
199	2 Cardinal Tickets - Box Seats Behind Homeplate	$100.00	Dill Plumbing	for all your plumbing needs - new or repairs - see Dill Plumbing 719 S Jefferson 239-3400.  Mutually agreed upon date
200	10 Large Buckets of Balls	$60.00	Big Driver	The Best Driving Range in Washington.  Mini Golf improve your game come to Big Driver & see Tom at Big Driver.  Grand Avenue across from Lions Lake
201	"Party of 4, 2 Rounds free with the purchase of 2 rounds."	$100.00	Warrenton Golf Course	"enjoy a round of golf at the Warrenton Golf Course, one of the oldest & finest courses around."
202	Party for up to 50 people at the Old Droeg'e Clubhouse	$900.00	Party for up to 50 People - Old Droege's Clubhous	"Donated by Red Noelker, Dan Neidre, Rick Wunderlich, Tim Wunderlich, Chuck Marquart, Herb Alferman, Butch Droege, Steve Lochirco, Steve Forget, and Herb Dill"
203	Lunch for 2 at Basket Case	$25.00	ASAP Appraisals	Dan & Lela Tulley want to say thanks from ASAP Appraisals
204	Lunch for 2 at Basket Case	$25.00	ASAP Appraisals	Dan & Lela Tulley want to say thanks from ASAP Appraisals
206	Dinner for 2 at Chico's	$25.00	Edward Jones - Debbie Skornia	How much will you need to retire?  Lets talk.   See Debbi Skornia with Edward Jones in Krakow.  Edward Jones…making sense of investing.  Member SIPC.
207	Dinner for 2 at Chico's	$25.00	Edward Jones - Debbie Skornia	How much will you need to retire?  Lets talk.   See Debbi Skornia with Edward Jones in Krakow.  Edward Jones…making sense of investing.  Member SIPC.
208	$25.00 Williams Brothers Gift Certificate	$25.00	Edward Jones - Debbie Skornia	How much will you need to retire?  Lets talk.   See Debbi Skornia with Edward Jones in Krakow.  Edward Jones…making sense of investing.  Member SIPC.
209	$25.00 Williams Brothers Gift Certificate	$25.00	Edward Jones - Debbie Skornia	How much will you need to retire?  Lets talk.   See Debbi Skornia with Edward Jones in Krakow.  Edward Jones…making sense of investing.  Member SIPC.
210	$25.00 Designer Threads Gift Certificate	$25.00	Designer Threads	Go see Designer Threads to get your personalized items for every member of the family.
211	2 Tickets to the 2008 Brewfest	$40.00	WASHINGTON JAYCEES	2008 Brewfest is October 18th. Log onto washingtonjaycees.com for all of the great Jaycee events.
212	2 Tickets to the 2008 Brewfest	$40.00	WASHINGTON JAYCEES	2008 Brewfest is October 18th. Log onto washingtonjaycees.com for all of the great Jaycee events.
213	2 Adult Tickets each to the June and September Demo Derby	$32.00	WASHINGTON JAYCEES	June Demo Derby is June 7th and the Sept date is September 6th.  Washingtonjaycees.org
214	2 Adult Tickets each to the June and September Demo Derby	$32.00	WASHINGTON JAYCEES	June Demo Derby is June 7th and the Sept date is September 6th.  Washingtonjaycees.org
215	2 Tickets to the 2008 Art Fair & Winefest	$40.00	"Downtown Washington, Inc."	The 27th Annual Art Fair & Winefest will be May 16-18.  Your tickets give you entrance to the tasting pavillion and commemorative wine glasses.
216	2 Tickets to the 2008 Art Fair & Winefest	$40.00	"Downtown Washington, Inc."	The 27th Annual Art Fair & Winefest will be May 16-18.  Your tickets give you entrance to the tasting pavillion and commemorative wine glasses.
217	$50.00 Conoco Gift Certificates	$50.00	Unnerstall Oil CO.	Buy Conoco Gas
218	$50.00 Paint N Place Gift Certificate	$50.00	"Paint N Place, Inc."	
219	Dinner for 4 at Chico's	$40.00	RE/MAX FIRST GOLD	Get hooked on great service - call John Fischer at Re/Max First Gold 239-4742 for all your real estate needs.
220	$25.00 Williams Brothers Gift Certificate	$25.00	RE/MAX FIRST GOLD	Get hooked on great service - call John Fischer at Re/Max First Gold 239-4742 for all your real estate needs.
221	4 Cardinal Tickets for Wed. April 2nd on the Casino Queen Porch	$148.00	Show Me Trophies & Awards	Your complete recognition store in Historic Downtown Washington.
222	Memory Foam Neck Pillow	$49.99	"Sleep Center Matress CO., LLC"	Sleep center mattress company for all your bedding needs.
223	$25.00 Wal-Mart Gift Card	$25.00	Murphy U.S.A.	Murphy U.S.A. - 5 cents off a gallon when you use your Wal-Mart gift card or credit card at Murphy U.S.A.
224	Seasonal opening of your In-Ground pool	$225.00	Ozark Pool & Spa	Ozark Pool & Spa offers a full line of chemicals and service on all pools & spas and service for most pools and spas.
225	"7"" Philips Portable DVD Player"	$89.88	Wal Mart Super Center	Our purpose at Wal-Mart is saving people money so they can live better.  Open 24 hours.
226	"2 MIZZOU Football Tickets for September 6, 2008"	$80.00	Dog House Woodworking - Greg Skornia	Call Greg @ 636-239-7982 for your furniture repair and refininsing or for custom woodworking.
227	3 Months of 5 Meg High Speed Internet	$132.00	Charter Communications	"For great television, telephone and internet bundling go to 1 place - Charter Communications"
228	$10.00 Glik's Gift Card	$10.00	Glik's	"For your teenage apparel, come to Glik's, in Washington Square.  Skate hard goods available at Glik's."
229	Coffee of the Day for 10 Days	$10.00	Not Just Cut n Dried	"For the only fresh roasted coffee in town, and for gifts and more, come to Not Just Cut n Dried, in Downtown Washington."
230	$25.00 Gift Certificate to the Shop Around the Corner	$25.00	The Shop Around the Corner	"The Shop Around the Corner, Washington's favorite setail store for ladies accessories and home furnishings.  Get the best prices at The Shop Around the Corner."
231	$35.00 Aldo's Restaurant Gift Certificate	$35.00	Nate Hagedorn Construction	Nate Hagedorn Construction wishes the Rotary Good Luck with the Auction.
232	Lunch for 2 at Basket Case	$25.00	"Hodges Badge Company, Inc."	
233	Shrimp Boil for 8 on the Missouri River	$800.00	"John Lochirco, Jeff Hastings and Jim Dierking"	"A great day on the Missouri River.  Boat ride, shrimp, corn on the cob, polish sausage, potatoes & lots of beverages.  Hosted by John & Missy Lochirco, Jeff & Jennifer Hastings and Jim & Karen Dierking."
234	$50.00 Hawthorne Inn Gift Certificate	$50.00	Hawthorne Inn - Labadie	"Voted """"Favorite Restaurant"""" 3 years in a row by Missourian readers. Located in downtwon Labadie!"
235	$50.00 Hawthorne Inn Gift Certificate	$50.00	Hawthorne Inn - Labadie	"Voted """"Favorite Restaurant"""" 3 years in a row by Missourian readers. Located in downtwon Labadie!"
236	$50.00 Hawthorne Inn Gift Certificate	$50.00	Hawthorne Inn-Union	"Come try the new Hawthorne Inn II in Union, enjoy the same great food as their Labadie location."
237	$50.00 Hawthorne Inn Gift Certificate	$50.00	Hawthorne Inn-Union	"Come try the new Hawthorne Inn II in Union, enjoy the same great food as their Labadie location."
238	2 Mesh Camp Chairs with Aluminum Frame	$149.98	ALPS	Outdoor Camping and Hiking Supplies & Equipment
239	"$30.00 Hillermann Nursery & Florist, Inc. Gift Certificate"	$30.00	A.G. Edwards & Sons Inc.	Call the financial consultants at AG Edwards a division of Wachovia Securities for your investment needs.  The local office is at 1351 S. Jefferson.
240	"$30.00 Hillermann Nursery & Florist, Inc. Gift Certificate"	$30.00	A.G. Edwards & Sons Inc.	Call the financial consultants at AG Edwards a division of Wachovia Securities for your investment needs.  The local office is at 1351 S. Jefferson.
241	"$30.00 Hillermann Nursery & Florist, Inc. Gift Certificate"	$30.00	A.G. Edwards & Sons Inc.	Call the financial consultants at AG Edwards a division of Wachovia Securities for your investment needs.  The local office is at 1351 S. Jefferson.
242	"$30.00 Hillermann Nursery & Florist, Inc. Gift Certificate"	$30.00	A.G. Edwards & Sons Inc.	Call the financial consultants at AG Edwards a division of Wachovia Securities for your investment needs.  The local office is at 1351 S. Jefferson.
243	$25.00 3 Brothers Gift Certificate	$25.00	3 Brothers Restaurant	The 3 Brothers Restaurant in downtown Labadie offers great food and great presentation in a relaxing atmosphere.
244	$25.00 3 Brothers Gift Certificate	$25.00	3 Brothers Restaurant	The 3 Brothers Restaurant in downtown Labadie offers great food and great presentation in a relaxing atmosphere.
245	$25.00 3 Brothers Gift Certificate	$25.00	3 Brothers Restaurant	The 3 Brothers Restaurant in downtown Labadie offers great food and great presentation in a relaxing atmosphere.
246	$25.00 3 Brothers Gift Certificate	$25.00	3 Brothers Restaurant	The 3 Brothers Restaurant in downtown Labadie offers great food and great presentation in a relaxing atmosphere.
247	Williams Brothers famous 4 oz filet mignon	$60.00	Dr. Raymond Kerr	
248	Lunch for 4 at Basket Case	$50.00	Rieser Family Dental LLC	"""A family of Dentists for your Family Dentistry"""
249	Sonicare Toothbrush	$110.00	Demko Orthodontics	
250	Magnavox DVD Player	$35.00	EZ Care Cellular & Satellite	If you're tired of the high cost of cable TV or cannot get high speed internet call EZ Care Cellular & Satellite 636-239-3899
251	Wireless Mouse	$30.00	EZ Care Cellular and Satellite	"For high speed internet that works anywhere and everywhere call EZ Care Cellular & Satellite for Hughes Net, Wild Blue or other wireless solutions"
252	Wireless Mouse	$30.00	EZ Care Cellular & Satellite	"For high speed internet that works anywhere and everywhere call EZ Care Cellular & Satellite for Hughes Net, Wild Blue or other wireless solutions"
253	Wireless Mouse	$30.00	EZ Care Cellular & Satellite	"For high speed internet that works anywhere and everywhere call EZ Care Cellular & Satellite for Hughes Net, Wild Blue or other wireless solutions"
254	$40.00 A.R.T. Concrete & Tool Supply Gift Certificate	$40.00	"A.R.T. Concrete & Tool Supply Co., INC."	"For all your construction supplies, Bobcat rental, dump trailer rental, mini excavator rental & much more.  6549 Meyer Drive by Shaw's Cabinet off Highway A."
255	$40.00 A.R.T. Concrete & Tool Supply Gift Certificate	$40.00	"A.R.T. Concrete & Tool Supply Co., INC."	"For all your construction supplies, Bobcat rental, dump trailer rental, mini excavator rental & much more.  6549 Meyer Drive by Shaw's Cabinet off Highway A."
256	Droege's Six (6) US choice KC 12 oz strip steaks	$45.00	Washington Metal Fabricators	Good luck with the Radio auction from your friends at Washington Metal Fabricators
257	Droege's Six (6) US choice KC 12 oz strip steaks	$45.00	Washington Metal Fabricators	Good luck with the Radio auction from your friends at Washington Metal Fabricators
258	"2 Cardinal Bleacher seats vs. Brewers July 21, 2008"	$28.00	Washington Square Dental	Dental Services include zoom laser whitening and invisalign tooth straightening system.
259	"2 Cardinal Bleacher Seats vs. Mets, July 2, 2008"	$28.00	Washington Square Dental	Washington Square Dental family dentistry
260	$20.00 Gift Certificate to Klondike Café at Montelle Winery	$20.00	Montelle Winery	Montelle Winery - Augusta Missouri
261	"$30.00 Hillermann Nursery & Florist, Inc. Gift Certificate"	$30.00	"AAA Insurance, Curt Holzem"	See Curt Hozem at AAA Insurance for all you insurance needs.
262	Private Wine Tasting for 10 People	$100.00	Augusta Winery	Augusta Winery in Downtown Augusta Missouri.
263	$150.00 Cassidy Cleaners Shoe/Boot/Leather Repair Gift Certificate	$150.00	Cassidy Cleaners	"Gift Certificate good for any combination of shoe, boot, or leather repair, up to a $150.00 value.  Cassidy Cleaners - we deal with spots. 390-2909.  2008 Phoenix Center Drive"
264	"$50.00 Hillermann Nursery & Florist, Inc.Gift Certificate"	$50.00	"AAA Insurance, Curt Holzem"	See Curt Holzem of AAA Insurance for all your insurance needs.
265	Cassidy Cleaners Wedding Dress Package	$195.00	Cassidy Cleaners	"Dress will be cleaned, spotted, pressed, boxed and preserved.  Cassidy Cleaners - we deal with spots. 390-2909.  2008 Phoenix Center Drive"
266	Cassidy Cleaners Wedding Dress Package	$195.00	Cassidy Cleaners	"Dress will be cleaned, spotted, pressed, boxed and preserved.  Cassidy Cleaners - we deal with spots. 390-2909.  2008 Phoenix Center Drive"
267	One Year of Dry Cleaning and/or Laundry (up to $30/month)	$360.00	Cassidy Cleaners	Cassidy Cleaners - we deal with spots. 390-2909.  2008 Phoenix Center Drive
268	"AAA Travel Bag, Atlas, Photo Album, Camera"	$30.00	AAA Travel Agency	AAA Travel Agency...for all your travel needstravel with someone you trust.  Located at 1053 Washington Square in Washington
269	Cassidy Cleaners Gift Certificate for 1 Fur Garment (up to $40.00)	$40.00	Cassidy Cleaners	"Garment will be cleaned, glazed and pressed.  Cassidy Cleaners - we deal with spots. 390-2909.  2008 Phoenix Center Drive"
270	Cleaning of 1 Leather or Suede Coat	$36.95	Cassidy Cleaners	Cassidy Cleaners - we deal with spots. 390-2909.  2008 Phoenix Center Drive
271	10 Cubic foot poly lawn cart	$130.00	Sears of Washington	Demea & James wouldlike to thank the community for for your continued patronage.
272	Cleaning of 1 Leather or Suede Coat	$36.95	Cassidy Cleaners	Cassidy Cleaners - we deal with spots. 390-2909.  2008 Phoenix Center Drive
273	$30.00 A Beautiful You Gift Certificate	$30.00	A Beautiful You - Lindsay Schuck	"Get your hair looking fresh for spring with a new cut, style or color.  Call Lindsay Schuck at 390-0373."
274	50% off 1 Night Whirlpool King Suite	$70.00	Sleep Inn	Get ready for your weekend getaway at Sleep Inn & Suites in Washington
275	$30.00 A Beautiful You Gift Certificate	$30.00	A Beautiful You - Lindsay Schuck	"Get your hair looking fresh for spring with a new cut, style or color.  Call Lindsay Schuck at 390-0373."
276	$30.00 A Beautiful You Gift Certificate	$30.00	A Beautiful You - Lindsay Schuck	"Get your hair looking fresh for spring with a new cut, style or color.  Call Lindsay Schuck at 390-0373."
277	$30.00 A Beautiful You Gift Certificate	$30.00	A Beautiful You - Lindsay Schuck	"Get your hair looking fresh for spring with a new cut, style or color.  Call Lindsay Schuck at 390-0373."
278	Oil Change	$28.00	Liesmann Auto Sales	For your preowned car needs call Liesmann Sales for individual attention.
279	4 Weekend 18 hole green fees with cart at Wolf Hollow	$168.00	Clemco Industries	Good luck to the Washington Rotary Club
280	Oil Change	$28.00	Liesmann Auto Sales	For your preowned car needs call Liesmann Sales for individual attention.
281	Oil Change	$28.00	Liesmann Auto Sales	For your preowned car needs call Liesmann Sales for individual attention.
282	Oil Change	$28.00	Liesmann Auto Sales	For your preowned car needs call Liesmann Sales for individual attention.
283	500 One color business cards	$42.00	Washington Printing Press	For all your business printing and sign needs call Washington Printing Press 636-239-3649 or 1-800-449-7302.
284	$30.00 Marquart's Landing Gift Certificate	$30.00	Marquart's Landing	Meet me at The Landing!!
285	$30.00 Marquart's Landing Gift Certificate	$30.00	Marquart's Landing	Meet me at The Landing!!
286	$30.00 Marquart's Landing Gift Certificate	$30.00	Marquart's Landing	Meet me at The Landing!!
287	$30.00 Marquart's Landing Gift Certificate	$30.00	Marquart's Landing	Meet me at The Landing!!
288	$30.00 Marquart's Landing Gift Certificate	$30.00	Marquart's Landing	Meet me at The Landing!!
289	500 Once Color Business Cards	$42.00	Washington Printing Press	For all your business printing and sign needs call Washington Printing Press 636-239-3649 or 1-800-449-7302.
290	Williams Brothers famous 4 oz filet mignon	$60.00	"Bennett Packaging, Inc."	"Serving the ara industry with corrugatd boxes, die cuts, and packaging materials"
291	Vinyl Mailbox	$110.00	Washington Fence Co. Inc.	We will fence you in.  Call Washington Fence for all your fencing needs.  239-5580
292	3 Cases of 8 1/2 X 11 Quality Copy Paper	$105.00	"Bennett Packaging, Inc."	We carry and deliver a large line of all sizes and colors of qyuality copy paper.
293	3 Cases of 8 1/2 X 11 Quality Copy Paper	$105.00	"Bennett Packaging, Inc."	We carry and deliver a large line of all sizes and colors of qyuality copy paper.
294	1/2 Hog Fully Processed to your Order	$140.00	Williams Bros. Meat Market	"Locally raised beef and pork award winning ham, sausage and bacon.  Your old fashion service meat market"
295	Dinner for 2 at Creamery Hill	$40.00	Weiskopf Cabinets	
296	4 Weekend 18 hole green fees with cart at Wolf Hollow	$168.00	Stork Fabricators Inc.	Best of luck to the Washington Rotary Club.
297	2 Weekend 18 hole green fees w/cart at Wolf Hollow	$84.00	Rabco Midwest Inc.	Best of Luck to the Washington Rotary Club
298	"Black & Gold ""Viper"" Brand Pool Cue"	$85.00	Spitball Charlie's Billiard & Game Room	"Come by to see ""Spitball Charlie"" for all your billiard, dart, poker and gameroom needs!  Also, foosball and air hockey.  Lessons available.  Located at 1752 E. Fifth Street"
299	"$30.00 Hillermann Nursery & Florist, Inc. Gift Certificate"	$30.00	Rabco Midwest Inc.	Best of Luck to the Washington Rotary Club
300	"20 -- 4 OZ Fillets, Williams Bros"	$60.00	Parmentier Auto Body	We do car detailing
301	Droege's Famous Fried Chicken Dinner for eight	$40.00	Dr. Bruce Crane	
302	Dinner for 2 at Creamery Hill	$50.00	Patients First Urgent Care	"When you can't wait to feel better, Patient's First Urgent Care is there for you."
303	Dinner for 2 at Creamery Hill	$50.00	Patients First Urgent Care	"When you can't wait to feel better, Patient's First Urgent Care is there for you."
304	Dinner for 2 at Creamery Hill	$50.00	Patients First Urgent Care	"When you can't wait to feel better, Patient's First Urgent Care is there for you."
305	Dinner for 2 at Creamery Hill	$50.00	Patients First Urgent Care	"When you can't wait to feel better, Patient's First Urgent Care is there for you."
306	"4 Cardinal vs. Giants Tickets in Redbird Club on April 19, 2008"	$184.00	Citizen's Bank	"Community owned indpeendent bank, New Haven, Gerald, Pacific , Washington and Marthasville.  Tickets are Section 244 Row 13."
307	Dinner for 2 at Basket Case	$50.00	Nancy Walkenhorst & Betsy Hazel of Coldwell Banker	"Coldwell Banker Premier ""Team with experience"".  Working together for over 19 years making your move a happy move.  Premier Service for you."
308	"4 Cardinal vs. Pirates Tickets on May 14, 2008."	$184.00	citizen's Bank	"Community owned indpeendent bank, New Haven, Gerald, Pacific , Washington and Marthasville.  Tickets are Section 244 Row 13."
309	Williams Brothers famous 4 oz filet mignon	$60.00	Keeven Heating and Cooling	"Family owned - Service all brands, Install commercial and residential - Geothermal"
310	"Spa Manicure & Pedicure Package at Backs, Bodies & More"	$55.00	Nancy Walkenhorst & Betsy Hazel of Cldwell Banker	"Coldwell Banker Premier ""Team with experience"".  Working together for over 19 years making your move a happy move.  Premier Service for you"
311	Williams Brothers hickory smoked slab bacon	$40.00	Keeven Heating and Cooling	"Family owned - Service all brands, Install commercial and residential - Geothermal"
312	4 Monday-Friday 18 hole green fee w/cart at Wolf Hollow	$168.00	Motor Appliance Corp	
313	Side by Side 1/2 Hour Massage & Express Facial for 2 in our Dual Room Oasis	$130.00	Daydreams Day Spa & Salon	
314	Dinner for 2 at Basket Case	$50.00	Super 8	Good luck to the Washington Rotary Club
315	$25.00 Hillermann Nursery and Florist Gift Card	$25.00	Monarch Mortgage	"Monarch Mortgage Ins. Exceeding your expectations.  6244 Hwy 100, Suite 100 in Washington 239-1400"
316	Lunch for 2 at Basket Case	$25.00	The Vineyard at River Bend Chapel	"Located at 4247 Old Hwy 100, Phone 390-8600.  All the elgance your deserve,, yet all the convenience you need."
317	Droege's BBQ Package	$45.00	Patients First Health Care -- Orthopedic Division	"Doctors Matthews, Chalk, Lusardi and Rotramel.  Serving Washington and surrounding areas for over 19 years."
318	Lunch for 2 at Basket Case	$25.00	The Vineyard at River Bend Chapel	"Located at 4247 Old Hwy 100, Phone 390-8600.  All the elgance your deserve,, yet all the convenience you need."
319	$30.00 Little Sicily Restaurant Gift Certificate	$30.00	D & D'S Little Sicily Restaurant	"Great Italian food, open 7 nights a week - at the corner of 5th and Stafford.  **Bigger Banquet Facility now available**"
320	Droege's BBQ Package	$45.00	Patients First Health Care -- Orthopedic Division	"Serving the ara industry with corrugatd boxes, die cuts, and packaging materials"
322	Droege's Six (6) US choice 12oz ibeye steaks	$45.00	Coldwell Banker Premier Group	"Coldwell Banker Premier Group, call us at 800-748-7844 to list or sell your home or property today!   Coldwell Banker, the largest real estate company in Franklin County."
323	Lunch for 2 at Basket Case	$25.00	Debbie Pick & Letitia Marlow of Coldwell Banker	Pick the Prmier Team for all your real estate needs.
324	Lunch for 2 at Basket Case	$25.00	Debbie Pick & Letitia marlow of Coldwell Banker	Pick the Premier Team for all your real estate needs.
325	Lunch for 2 at Basket Case	$25.00	Bark Schwentker of Coldwell Banker Premier Group	Call Barb to list or sell your home or property.  I want to make your move a good move!
326	Lunch for 2 at Basket Case	$25.00	Cindy Johanning - Coldwell Banker Premier	"When thinking of buying or selling a home, call Cindy Johanning @ 314-708-0204 & she will make it easy for you."
327	$50.00 Moments of Serenity Gift Certificate	$50.00	First Bank	Call John Freitag or Renee Kerpash for all your banking needs.  Bank First.  Be First
328	Happy hour for 6 at Chico's	$75.00	First Bank	Call John Freitag or Renee Kerpash for all your banking needs.  Bank First.  Be First
329	Lunch for 4 at Basket Case	$50.00	First Bank	Call John Freitag or Renee Kerpash for all your banking needs.  Bank First.  Be First
330	Coffee Gift Basket	$65.00	First Bank	Call John Freitag or Renee Kerpash for all your banking needs.  Bank First.  Be First
331	Williams Brothers famous 4 oz filet mignon	$60.00	First Bank	Call John Freitag or Renee Kerpash for all your banking needs.  Bank First.  Be First
332	Droege's Six (6) US choice 12oz ibeye steaks	$50.00	"Robert F. Weber., Custom Builder, Inc."	For all your construction needs call Robert F. Weber Custom Builder at 239-2399 Tim Dean and Robert Weber
333	1 Pair of Klogs (shoes)	$75.00	"Foam Engineers, LLC"	High performance spray foam instillations
334	Fas-Trip 66-5 Triple shine washes	$40.00	Washington Dermatology - Dr. Karen Eshraghi	
335	Residential Radon Inspection	$100.00	"All Clear Home Inspection, LLC"	Dennis Hartmann owner/inspector
336	The Quality Coach Supervisory Series (12 sessions)	$840.00	The Quality Coach!	Because every business is a people business
337	Lunch for 2 at Basket Case	$25.00	Washington Tractor	"Located at Hwy 47 South, Washington MO"
338	$35.00 Aldo's Restaurant Gift Certificate	$35.00	Washington Tractor	"Located at Hwy 47 South, Washington, MO"
339	Williams Bros. BBQ Package for 10	$80.00	Bank of Franklin County	"A real community bank with 4 locations to serve you.  Washington, Krakow, New Haven"
340	Dinner at Little Sicilys & Movie at Cinema 1 Plus	$75.00	Bank of Franklin County	"A real community bank with 4 locations to serve you.  Washington, Krakow, New Haven"
341	"$30.00 Hillermann Nursery & Florist, Inc. Gift Certificate"	$30.00	"Franklin Mortgage Company, LLC"	Experience you can trust.  Sharon Monzyk & Gina Scego
342	Fas-Trip 66-5 Triple shine washes	$40.00	"Franklin Mortgage Company, LLC"	Experience you can trust.  Sharon Monzyk & Gina Scego
343	2 Free Date Nights	$60.00	Kids Ahoy Learn & Care Center	"Kid's Ahoy is a 24 hr./7 day a week center and parents love to be able to go on a date night. 1st., 2nd, and 3rd shift available."
345	Williams Brothers famous 4 oz filet mignon	$60.00	Dr. Jon Lebsack	Washington Maxillofacial Surgery - Located in the Mercy Doctor's Building
346	Williams Bros. Natural Hickory smoked bone-in ham	$60.00	Dr. Kevin Walde	
347	J&M Car Wash-10 Automatic car wash package	$45.00	Four Rivers Insurance Agency	Give Mark Michels or Tom Hillermann a call for your insurance needs.
348	J&M Car Wash-10 Automatic car wash package	$45.00	Four Rivers Insurance Agency	Give Mark Michels or Tom Hillermann a call for your insurance needs.
349	J&M Car Wash-10 Automatic car wash package	$45.00	Four Rivers Insurance Agency	Give Mark Michels or Tom Hillermann a call for your insurance needs.
350	J&M Car Wash-10 Automatic car wash package	$45.00	Four Rivers Insurance Agency	Give Mark Michels or Tom Hillermann a call for your insurance needs.
351	4 Hour Bus Trip/Charter/Field Trip	$208.00	First Student	Formerly Laidlaw - If you can't do it safely - Don't do it!
352	3 Hours of Personal Life Coaching	$210.00	Amy Williams - MSLC Master Spiritual Life Coach	"Helping you to live your best life 636-433-5977.  19375 Charrette Creek Road, Marthsville, MO  63357"
353	1 Case Mona Vie - Juice from the Amazon	$240.00	Amy and Roger Williams	19 Different Fruits 636-433-5977
354	DHL Credit for Shipping Overnight	$50.00	Freight Savers Express - Rick Bouse	DHL authorized selling partner
355	DHL Credit for Shipping Overnight	$50.00	Freight Savers Express - Rick Bouse	DHL authorized selling partner
356	Orreck Cordless Iron	$129.00	Roettering Appliance	Take this iron anywhere - Great for all types of craft projects
357	Lube & Oil Change	$30.00	Riechers Tire and Auto	We are here to keep you safe on the road
358	"$50.00 Hillermann Nursery & Florist, Inc.Gift Certificate"	$50.00	Hillermann Nursery & Florist	We are growing for you!  Exciting NEW changes in our store for Spring 08!
359	"$50.00 Hillermann Nursery & Florist, Inc.Gift Certificate"	$50.00	Hillermann Nursery & Florist	"Hillermann's was named ""National"" Revolutionary Garden Center Winner for 2008"
360	"$50.00 Hillermann Nursery & Florist, Inc.Gift Certificate"	$50.00	Hillermann Nursery & Florist	57 Years and growing for the community!  2008 Revolutionary Garden Center Winner
361	4'x5' Area Rug of your Choice	$99.00	"Straatmann Carpet Service, Inc."	We've got your floors covered
362	3'x5' Area Rug of your Choice	$79.00	"Straatmann Carpet Service, Inc."	Use area rug on the floor or as a wall hanging - We've got you covered!
363	Carpet Cleaning Supplies	$11.59	"Straatmann Carpet Service, Inc."	Visit our large showroom on Villa West Drive in Villa Ridge
364	Executive Wine Collector Set	$50.00	Advertising Unlimited	"Opener, foil cutter, drip ring, thermometer, pourer, 2 Wine stoppers"
365	Monitor Computer Calendar (100) with your advance copy	$125.00	The Chest	Place your advertising where people spend their time --  start calendar with any month.
366	"Laptop Computer Calendars ""100"" with your advertising copy"	$100.00	The Chest	Place your advertising where people are spending their time.  Start calendar with any month.
367	"Black & Decker Circular Saw 7 1/4"""	$75.00	S-K CONTRACTING	See us for all your construction needs - Residential and Commerical
368	Aldo's Restaurant Gift Certificate	$35.00	CRIDER HEALTH CENTER	"""Full, Productive, Healthy lives for everyone"""
369	Aldo's Gift Certificate	$35.00	Realty Net Advantage	"""You'll Be Sold on Us"""
370	$500 Credit Towards Closing Costs	$500.00	Equity One Mortgage	
371	2 Gallons Matte Interior Wall Paint	$43.00	Sherwin Williams	
372	"Forney 4 1/2"" Angle Grinder"	$46.00	John Hall Lumber Co.	Come see the friendly folks at John Hall Lumber on Hwy A for all your lumber needs.
373	"4 Infield Fieldbox Seats (Section 148 Row 10) at Cardinal's Game.  Date to be determined.Approx. 30 rows behind home plate, 1st base side."	$180.00	"Ince Homes, Inc."	Designer and builder of fine custom and estate homes.
374	Hillermann Nursery Gift Certificate	$30.00	Washington Chiropractic Clinic	Washington Chiropractic Clinic - Dr. Larry Gerstein & Co.
375	Six golf lessons - Wolf Hollow Pro.	$300.00	G & H Tool & Mold	"G & H Tool, a first class company providing great jobs and community leadership to the Washington area."
376	$150.00 Gift Certificate to Ed's Meat Market	$150.00	Niebery Vitt Funeral Home	Serving the Washington Area from Historic Downtown Washington.
377	5 Rides within city limits of Washington.	$45.00	"Millenium Taxi, Inc."	"Local and long distance transportation, whatever your transportation needs, let us be your designated driver."
378	$50.00 Savings Bond (US)	$50.00	US Bank	Visit any one of the 3 Washington locations for all of your financial needs.
379	$50.00 US Savings Bond	$50.00	US Bank	Visit any one of the 3 Washington locations for all of your banking and financial needs.
380	"""Dine Around Washington""  G.C. to 13 area restaurants"	$570.00	The Rotary Auction Committee	"The Rotary Auction Committee would like to thank all our volunteers, bidders and buyers for your support : Aldo's, Am. Bounty, Basket Case, Café Mosaic, Chicos, Cowans, Dairy Delight, Hawthorn's, Los Cabos, The Landing, Miller's Grill, Smokehouse, Wimpy's"
381	$50.00 US Savings Bond	$50.00	US Bank	Visit any one of the 3 Washington locations for all of your banking and financial needs.
382	$50.00 US Savings Bond	$50.00	US Bank	Visit any one of the 3 Washington locations for all of your banking and financial needs.
383	"""I Didn't Know That"" Book - Facts about Washington, MO"	$25.00	Washington Historial Society	Stop by 4th & Market to visit us-Tues.-Sat 10:00-4:00 PM & Sunday 12:00-4PM
384	Gift Certificate Ed's Meath market	$30.00	Ed's Meat Market	National & State Champion smoked meats.
385	"""I Didn't Know That"", book,  Facts about Washington, MO"	$25.00	Washington Historial Society	Stop by 4th & Market to visit us-Tues.-Sat 10:00-4:00 PM & Sunday 12:00-4PM
386	Gift Certificate to Ed's Meat Market	$30.00	Ed's Meat Market	National & State Champion smoked meats.
387	2008 Desk Folder Calendar - Nice Padded Folder	$40.00	Ginny Brinker/A Centery Advertising	For all your promotional product needs.  Call Ginny at 636/239-0630
388	Droege's Brat Feast	$45.00	The Catalog Group -- John Miller	"Need a catalog?  Anything from one page to a thousand pages, we do it all -- design -- layout -- printing.  Give us a call 636-390-8080"
389	"$30.00 Hillermann Nursery & Florist, Inc. Gift Certificate"	$30.00	St. Elizabeth Adult Day Care Center	Providing care for elderly and disabled adults - 5 days a week.
